title,date,price,is_discounted,locals,surface,bathrooms,floor
"Appartamento corso Trapani 60, Pozzo Strada, Torino",01/12/2022,€ 418.000,0,5,152 m²,2,3
"Quadrilocale corso Germano Sommeiller 24, Crocetta, Torino",01/12/2022,€ 448.000,0,4,134 m²,2,4
"Trilocale corso Vittorio Emanuele II 5, San Salvario - Baretti, Torino",01/12/2022,€ 398.000,0,3,102 m²,2,3
"Bilocale corso Vittorio Emanuele II 5, San Salvario - Baretti, Torino",01/12/2022,€ 198.000,0,2,60 m²,1,3
"Trilocale corso Svizzera 49, Campidoglio, Torino",02/12/2022,€ 208.000,0,3,75 m²,1,6
"Quadrilocale corso Francia 15, Cit Turin, Torino",01/12/2022,€ 495.000,0,4,130 m²,2,3
"Appartamento corso IV NOVEMBRE 114, Santa Rita, Torino",17/10/2022,€ 259.000,0,5,148 m²,1,6
"Quadrilocale corso VITTORIO EMANUELE II 62, Via Roma, Torino",15/12/2022,€ 620.000,0,4,200 m²,2,4
"Trilocale corso Carlo e Nello Rosselli 168, San Paolo, Torino",02/01/2023,€ 142.000,0,3,75 m²,1,T
"Quadrilocale via Pellice 19, Cenisia, Torino",16/12/2022,€ 149.000,0,4,95 m²,2,3
"Trilocale via Michele Amari, 0, Mirafiori Sud, Torino",17/11/2022,€ 135.000,0,3,85 m²,1,
"Quadrilocale via Antonio Pigafetta 61b, Crocetta, Torino",03/01/2023,€ 285.000,0,4,124 m²,2,1
"Quadrilocale corso Traiano 10c, Mirafiori Sud - Onorato Vigliani, Torino",13/12/2022,€ 175.000,0,4,100 m²,1,1
"Quadrilocale corso Traiano 10, Mirafiori Sud - Onorato Vigliani, Torino",29/12/2022,€ 215.000,0,4,100 m²,1,3
"Quadrilocale corso Bernardino Telesio 125, Parella, Torino",28/12/2022,€ 305.000,0,4,95 m²,2,2
"Attico via Pavone 3, Borgo Vittoria, Torino",07/12/2022,€ 206.000,0,3,94 m²,1,5
"Trilocale via Valgioie 83, Parella, Torino",01/01/2023,€ 240.000,0,3,100 m²,1,1
"Quadrilocale corso Francia 296, Parella, Torino",28/12/2022,€ 229.000,0,4,120 m²,2,4
"Bilocale via vittoria, 43, Borgo Vittoria, Torino",13/12/2022,€ 63.000,0,2,65 m²,1,3
"Quadrilocale corso Bernardino Telesio 121, Parella, Torino",28/12/2022,€ 325.000,0,4,105 m²,2,1
"Quadrilocale via Stelvio 82, Pozzo Strada, Torino",19/12/2022,€ 285.000,0,4,120 m²,2,6
"Appartamento corso Giacomo Matteotti 47, Cittadella, Torino",17/11/2022,€ 790.000,0,5,182 m²,2,
"Quadrilocale via Pianezza 35a, Lucento, Torino",28/12/2022,€ 213.000,0,4,92 m²,2,1
"Quadrilocale Strada Lanzo 175, Barriera di Lanzo, Torino",30/12/2022,€ 129.000,0,4,95 m²,1,4
"Monolocale via Silvio Pellico, 21, Torino",01/12/2022,€ 151.000,0,1,42 m²,1,1
"Monolocale via Silvio Pellico, 21, Torino",01/12/2022,€ 158.000,0,1,42 m²,1,2
"Trilocale via Silvio Pellico, 21, Torino",01/12/2022,€ 245.000,0,3,70 m²,1,1
"Trilocale via Silvio Pellico, 21, Torino",01/12/2022,€ 259.000,0,3,70 m²,1,2
"Trilocale via Silvio Pellico, 21, Torino",01/12/2022,€ 290.000,0,3,90 m²,1,T
"Appartamento via Silvio Pellico, 21, Torino",01/12/2022,€ 420.000,0,5,114 m²,2,2
"Appartamento via Silvio Pellico, 21, Torino",01/12/2022,€ 445.000,0,5,114 m²,2,3
"Appartamento via Duchessa Jolanda 12, Cit Turin, Torino",28/12/2022,€ 475.000,0,5+,232 m²,2,1
"Quadrilocale via Ludovico Bellardi 24, Parella, Torino",30/12/2022,€ 250.000,0,4,110 m²,2,2
"Trilocale via Gian Francesco Re 43, Parella, Torino",30/12/2022,€ 250.000,0,3,85 m²,1,5
"Quadrilocale via Onorato Vigliani 87/10, Mirafiori Sud - Onorato Vigliani, Torino",03/01/2023,€ 174.000,0,4,100 m²,2,4
"Appartamento via Fratelli Calandra 16, Via della Rocca, Torino",28/12/2022,€ 739.000,1,5+,270 m²,3,T
"Quadrilocale via Camburzano, 7, 10143 Torino TO, Campidoglio, Torino",02/01/2023,€ 348.000,0,4,123 m²,2,2
"Quadrilocale corso Guglielmo Marconi 24, San Salvario - Baretti, Torino",20/12/2022,€ 435.000,0,4,143 m²,1,5
"Quadrilocale via Giambattista Bogino, 25, 10123 Torino TO, Via Roma, Torino",02/01/2023,€ 650.000,0,4,177 m²,1,1
"Trilocale via Giambattista Bogino, 25, 10123 Torino TO, Via Roma, Torino",02/01/2023,€ 580.000,0,3,157 m²,1,1
"Appartamento via Giambattista Bogino, 25, 10123 Torino TO, Via Roma, Torino",02/01/2023,€ 800.000,0,5,270 m²,3+,1
"Appartamento via Giambattista Bogino, 25, 10123 Torino TO, Via Roma, Torino",02/01/2023,€ 500.000,0,5,285 m²,3,T
"Trilocale via Giacinto Pacchiotti 66, Parella, Torino",30/12/2022,€ 290.000,0,3,85 m²,1,3
"Trilocale corso Germano Sommeiller 24, Crocetta, Torino",01/12/2022,€ 258.000,0,3,88 m²,1,4
"Trilocale corso Unione Sovietica 91, Santa Rita, Torino",22/11/2022,€ 238.000,0,3,90 m²,2,4
"Bilocale corso Filippo Turati 12, San Secondo, Torino",02/12/2022,€ 168.000,0,2,73 m²,1,1
"Trilocale via Benvenuto Cellini, San Salvario - Dante, Torino",15/11/2022,€ 180.000,0,3,65 m²,1,T
"Bilocale via Benvenuto Cellini, San Salvario - Dante, Torino",15/11/2022,€ 190.000,0,2,53 m²,1,2
"Bilocale via Benvenuto Cellini, San Salvario - Dante, Torino",15/11/2022,€ 210.000,0,2,57 m²,1,3
"Trilocale via Benvenuto Cellini, San Salvario - Dante, Torino",15/11/2022,€ 277.000,0,3,74 m²,1,2
"Trilocale via Benvenuto Cellini, San Salvario - Dante, Torino",15/11/2022,€ 277.000,0,3,74 m²,1,2
"Trilocale via Benvenuto Cellini, San Salvario - Dante, Torino",15/11/2022,€ 295.000,0,3,74 m²,1,3
"Appartamento via Benvenuto Cellini, San Salvario - Dante, Torino",15/11/2022,€ 462.000,0,5,127 m²,2,2
